Month,all,coal,gas,nuclear,hydro,wind,solar
May 2003,307544.887,150262.977,49372.963,62201.96,29395.256,1006.383,
Apr 2003,285755.699,141959.981,45195.383,56775.591,24758.962,1092.766,
Mar 2003,304317.265,155001.775,46699.026,59933.261,24202.273,1036.104,
Feb 2003,299248.777,156982.481,43546.573,60941.869,19779.86,745.375,
Jan 2003,341988.901,181313.153,50175.746,69211.084,20600.079,632.34,
Dec 2002,324833.705,172189.765,46100.393,68905.472,21668.54,755.194,
Nov 2002,296289.561,156053.655,45160.876,61520.324,19730.029,655.946,
Oct 2002,307059.46,159099.294,54200.82,60493.052,17171.334,734.355,
Sep 2002,331279.434,165366.309,68161.131,64480.79,17086.782,735.828,
Aug 2002,374585.819,179955.447,84476.867,70777.688,21083.924,976.691,
Jul 2002,381542.107,183194.702,83917.269,70420.827,25470.647,890.455,
Jun 2002,341023.144,164667.695,65631.018,66371.896,28212.847,1126.315,
May 2002,307674.569,151406.401,50275.237,63032.192,26662.695,1077.641,
Apr 2002,289848.253,142304.595,49146.409,58437.062,24246.605,1024.417,
Mar 2002,302549.011,151485.651,51214.464,63040.647,21008.813,852.102,
Feb 2002,281825.712,143048.822,44308.431,61658.274,20191.683,713.932,
Jan 2002,319941.476,164358.018,48412.832,70925.863,21794.932,811.402,
Dec 2001,305496.328,157402.35,47540.861,67430.878,19346.314,615.657,
Nov 2001,278933.942,144116.998,44490.622,62341.711,15412.929,470.448,
Oct 2001,294733.613,148930.816,56376.441,60460.967,15234.503,606.829,
Sep 2001,306928.866,154158.317,60181.14,63378.451,15256.027,490.229,
Aug 2001,370532.828,183116.073,78409.804,68389.496,18913.768,577.206,
Jul 2001,357613.7,179060.41,73030.142,69166.04,18079.119,634.992,
Jun 2001,327693.978,162615.804,57603.154,68023.098,20727.63,669.634,
May 2001,300491.621,151592.914,50934.205,61512.445,19175.635,635.029,
Apr 2001,278078.871,140670.654,45842.746,56003.026,18012.994,684.695,
Mar 2001,300706.544,155269.011,44364.414,62140.712,20477.189,532.12,
Feb 2001,282940.198,149735.484,37966.927,61272.407,17472.889,431.242,
Jan 2001,332493.16,177287.111,42388.663,68707.077,18852.048,389.25,
